date,nav,acc_nav,daily_growth_pct,source
2023-08-18,0.892,3.455,-0.34,eastmoney
2023-08-21,0.881,3.444,-1.23,eastmoney
2023-08-22,0.89,3.453,1.02,eastmoney
2023-08-23,0.876,3.439,-1.57,eastmoney
2023-08-24,0.88,3.443,0.46,eastmoney
2023-08-25,0.875,3.438,-0.57,eastmoney
2023-08-28,0.878,3.441,0.34,eastmoney
2023-08-29,0.899,3.462,2.39,eastmoney
2023-08-30,0.902,3.465,0.33,eastmoney
2023-08-31,0.895,3.458,-0.78,eastmoney
2023-09-01,0.891,3.454,-0.45,eastmoney
2023-09-04,0.898,3.461,0.79,eastmoney
2023-09-05,0.895,3.458,-0.33,eastmoney
2023-09-06,0.905,3.468,1.12,eastmoney
