date,nav,source,daily_growth_pct,acc_nav
2019-09-24,1.5656,akshare_fund_open_fund_info_em,-0.0128,1.6156
2019-09-25,1.558,akshare_fund_open_fund_info_em,-0.4854,1.608
2019-09-26,1.535,akshare_fund_open_fund_info_em,-1.4763,1.585
2019-09-27,1.5404,akshare_fund_open_fund_info_em,0.3518,1.5904
2019-09-30,1.5359,akshare_fund_open_fund_info_em,-0.2921,1.5859
2019-10-08,1.5418,akshare_fund_open_fund_info_em,0.3841,1.5918
2019-10-09,1.5513,akshare_fund_open_fund_info_em,0.6162,1.6013
2019-10-10,1.5774,akshare_fund_open_fund_info_em,1.6825,1.6274
2019-10-11,1.5775,akshare_fund_open_fund_info_em,0.0063,1.6275
2019-10-14,1.5925,akshare_fund_open_fund_info_em,0.9509,1.6425
2019-10-15,1.5823,akshare_fund_open_fund_info_em,-0.6405,1.6323
2019-10-16,1.5823,akshare_fund_open_fund_info_em,0.0,1.6323
2019-10-17,1.5799,akshare_fund_open_fund_info_em,-0.1517,1.6299
2019-10-18,1.5823,akshare_fund_open_fund_info_em,0.1519,1.6323
2019-10-21,1.5785,akshare_fund_open_fund_info_em,-0.2402,1.6285
2019-10-22,1.592,akshare_fund_open_fund_info_em,0.8552,1.642
2019-10-23,1.5773,akshare_fund_open_fund_info_em,-0.9234,1.6273
2019-10-24,1.5715,akshare_fund_open_fund_info_em,-0.3677,1.6215
2019-10-25,1.5933,akshare_fund_open_fund_info_em,1.3872,1.6433
2019-10-28,1.5975,akshare_fund_open_fund_info_em,0.2636,1.6475
2019-10-29,1.6069,akshare_fund_open_fund_info_em,0.5884,1.6569
2019-10-30,1.6045,akshare_fund_open_fund_info_em,-0.1494,1.6545
2019-10-31,1.6061,akshare_fund_open_fund_info_em,0.0997,1.6561
2019-11-01,1.6284,akshare_fund_open_fund_info_em,1.3885,1.6784
2019-11-04,1.6386,akshare_fund_open_fund_info_em,0.6264,1.6886
2019-11-05,1.6492,akshare_fund_open_fund_info_em,0.6469,1.6992
2019-11-06,1.6445,akshare_fund_open_fund_info_em,-0.285,1.6945
2019-11-07,1.6539,akshare_fund_open_fund_info_em,0.5716,1.7039
2019-11-08,1.6501,akshare_fund_open_fund_info_em,-0.2298,1.7001
2019-11-11,1.6377,akshare_fund_open_fund_info_em,-0.7515,1.6877
2019-11-12,1.6295,akshare_fund_open_fund_info_em,-0.5007,1.6795
2019-11-13,1.6346,akshare_fund_open_fund_info_em,0.313,1.6846
2019-11-14,1.6503,akshare_fund_open_fund_info_em,0.9605,1.7003
2019-11-15,1.6485,akshare_fund_open_fund_info_em,-0.1091,1.6985
2019-11-18,1.6556,akshare_fund_open_fund_info_em,0.4307,1.7056
2019-11-19,1.667,akshare_fund_open_fund_info_em,0.6886,1.717
2019-11-20,1.6661,akshare_fund_open_fund_info_em,-0.054,1.7161
2019-11-21,1.661,akshare_fund_open_fund_info_em,-0.3061,1.711
2019-11-22,1.6343,akshare_fund_open_fund_info_em,-1.6075,1.6843
2019-11-25,1.6279,akshare_fund_open_fund_info_em,-0.3916,1.6779
2019-11-26,1.6431,akshare_fund_open_fund_info_em,0.9337,1.6931
2019-11-27,1.6439,akshare_fund_open_fund_info_em,0.0487,1.6939
2019-11-28,1.6494,akshare_fund_open_fund_info_em,0.3346,1.6994
2019-11-29,1.63,akshare_fund_open_fund_info_em,-1.1762,1.68
2019-12-02,1.6337,akshare_fund_open_fund_info_em,0.227,1.6837
